month,С,СВ,В,ЮВ,Ю,ЮЗ,З,СЗ,Штиль
1,9.8,4.8,6.2,9.9,24.9,18.9,16.0,9.6,7.2
2,9.8,4.5,8.5,12.5,25.4,15.9,13.7,9.7,7.2
3,8.1,4.4,9.1,11.8,27.7,16.0,14.2,8.6,7.7
4,11.8,8.0,11.4,11.5,23.8,12.5,12.1,8.9,6.6
5,15.5,11.4,11.9,10.2,17.9,10.3,12.7,10.1,8.9
6,17.1,10.4,9.3,7.7,14.1,11.6,16.1,13.8,10.7
7,17.3,11.3,9.4,8.8,14.1,9.8,15.6,13.5,12.2
8,16.4,11.7,9.4,8.4,14.3,10.6,16.5,12.7,12.5
9,13.8,7.7,7.7,9.0,18.9,13.6,16.9,12.5,9.4
10,12.1,4.9,4.9,7.3,23.7,16.5,18.5,12.1,6.9
11,8.4,5.1,6.2,9.3,26.7,19.4,16.6,8.4,5.4
12,8.0,4.4,6.2,10.8,26.7,19.8,15.1,9.0,5.3
Год,12.2,7.3,8.3,9.8,21.7,14.7,15.3,10.7,12.3
